iteration,scaling_factors,train_score
0,"[1.00976483 0.99982157 0.99044923 0.99167456 0.99383511 0.9959236
 0.99372722 1.00063167 1.00862185 1.00195779 1.00020429 0.99466097
 0.99431221 1.00820319 1.0069348  1.00501382 0.99092635 1.0065749
 1.00713661 0.99376155 0.9914093  0.99107018 0.99195767 1.00041503
 1.0063912  0.99449836 1.00251968 0.99160981 0.99834053 1.00687748
 0.99804447 0.99775521 0.99687563 1.0047284  0.99185946 0.99783446
 0.9998181  0.9987181  1.00630632 0.99362438 0.99100399 1.00779938
 0.99287998 1.00323687 1.00264385 0.9973955  0.99285936 0.99344989]",0.3679103838426817
1,"[1.00287868 0.99983817 0.9980056  0.99174456 0.99638274 1.00185121
 0.98686322 1.00222411 1.01128191 1.00262157 0.9994869  0.99662921
 0.98469336 1.00881846 1.01654171 1.00044262 0.99960291 1.00538415
 1.01151782 0.98811911 0.99745955 0.99200826 0.98413873 1.0034852
 0.99923774 0.99040458 0.99323474 0.99990335 0.99777959 1.00802121
 1.00593118 0.99436416 0.99183272 1.01130171 0.9866788  0.99084145
 0.9973187  1.0040191  1.01430059 0.99827131 0.98391888 1.01727548
 0.98846303 1.00440561 1.01172416 0.99529359 0.99742138 0.98570164]",0.2501047269262181
2,"[1.00934539 0.99721988 0.98914619 0.99444493 1.00382685 1.00179666
 0.99289382 0.99518159 1.01382368 0.99974436 0.99623654 0.9877538
 0.99324038 1.01260552 1.01965706 1.00620287 0.99096235 1.00267071
 1.01916155 0.99190931 1.0026527  0.99155375 0.98560252 1.00552807
 1.00579572 0.98881105 0.99530787 0.99995629 0.99022498 1.0019857
 0.99997619 0.99094121 0.98465492 1.01335788 0.99195406 0.99552007
 1.00274716 0.99737447 1.0173394  0.99753028 0.99282015 1.01553878
 0.98377591 1.00492257 1.00942763 0.98633827 1.00052054 0.99486119]",0.4654328846506455
3,"[1.00965831 0.99924067 0.98093741 0.99655893 1.01284096 1.00967957
 0.98996541 0.99747118 1.0062284  1.00707277 1.00133971 0.98793018
 0.99254708 1.01271509 1.02618434 0.99992916 0.98740038 1.00736865
 1.02571887 0.98490459 1.01060573 0.99818748 0.98218553 1.01313404
 1.0154074  0.98074534 0.98896236 1.00969406 0.98438135 1.00063365
 1.00103807 0.99881686 0.9798258  1.01592947 0.99518479 0.98904754
 1.01140594 1.00472463 1.00909962 1.00121036 0.99320907 1.0241213
 0.98461065 1.01359253 1.01571598 0.99601583 1.0069433  0.99142572]",0.5443704222076302
4,"[1.01519868 0.99733379 0.97453958 0.99098881 1.02073034 1.00014076
 0.99803885 0.99267052 1.00417726 0.99928915 0.99353041 0.98731729
 0.99678397 1.02059887 1.02620607 0.99434309 0.98524449 0.99984585
 1.0192871  0.97756726 1.01035393 1.00534252 0.98576376 1.0129446
 1.01171942 0.98287355 0.99441981 1.01505018 0.98846112 0.99940549
 1.00599776 0.99741204 0.97235457 1.00824691 0.99154253 0.99022993
 1.01274    1.00521897 1.00877207 1.00908174 0.99707933 1.02205002
 0.98073869 1.02247336 1.01281206 0.99197451 1.01588524 0.98513469]",0.4655712198522598
5,"[1.01172021 0.99678032 0.98248005 0.99400429 1.02732108 1.00700959
 0.99438764 0.98927194 0.99495523 0.99275009 1.00137157 0.98616769
 0.99729642 1.01857429 1.02390674 0.99920414 0.97672314 1.00894605
 1.01038491 0.98090809 1.00965201 1.0123798  0.97781481 1.01539415
 1.00509311 0.98955633 0.99099833 1.00662072 0.99321085 1.00933377
 1.00000967 1.00727052 0.97011792 1.01364833 0.99239597 0.99048958
 1.00675666 1.00479881 1.00450906 1.00486015 0.99678392 1.01230481
 0.985296   1.01693806 1.01625866 0.98595486 1.00848338 0.98028746]",0.5290254066785353
6,"[1.01537324 0.99287285 0.9786817  0.99028736 1.02955231 1.00184709
 1.00287322 0.99761813 1.00022313 0.99110024 1.00974329 0.98412771
 0.99245201 1.01967513 1.03231041 1.0075287  0.96921498 1.00652795
 1.00674449 0.98177095 1.00397443 1.01801701 0.98470181 1.01573386
 0.99617801 0.99169933 0.99935372 1.00191425 0.98782948 1.0100502
 1.00626877 1.01163185 0.96931528 1.0219655  0.9957331  0.98626948
 1.01277343 1.00650511 1.0050022  1.00330441 0.99334982 1.0160684
 0.99363781 1.01831989 1.01842881 0.98079045 1.01097391 0.97181542]",0.5093596971962587
7,"[1.01364108 0.98593607 0.98423877 0.99960898 1.03553139 1.00574345
 1.00975447 1.00164909 0.99793909 0.99387692 1.00105845 0.98884368
 0.99323687 1.01568637 1.03052342 1.00726531 0.96272168 0.99802295
 1.00265374 0.97302855 1.00024863 1.0135498  0.98299899 1.00818361
 1.00156272 0.99751118 0.99425037 1.003614   0.98957855 1.00109059
 1.00666847 1.01846662 0.96795617 1.01938193 0.99484472 0.98342577
 1.02231223 1.00919557 1.01375078 1.0130278  0.99982771 1.01519264
 0.98466222 1.02571173 1.01881861 0.98746852 1.00129239 0.97410588]",0.4739667917947946
8,"[1.01144971 0.98978346 0.99283087 0.99407047 1.02994564 1.01126487
 1.01592609 0.99581567 0.99079921 0.98625302 1.00147731 0.98457511
 0.98702784 1.01072111 1.03035728 1.00242219 0.95649303 1.00247738
 1.00947998 0.96578418 1.00061486 1.01446572 0.97730698 0.99866914
 0.99215749 1.00080451 0.98885929 0.99549572 0.99149108 1.00515622
 0.99922254 1.02397265 0.97149155 1.00993063 0.98626665 0.97757732
 1.02640978 1.00069985 1.00490598 1.00535247 0.99295196 1.0239682
 0.98897387 1.02966395 1.01421902 0.9795521  1.00951318 0.96737618]",0.4113409764155954
9,"[1.01904376 0.98041751 0.99765778 0.99414607 1.02770703 1.01040061
 1.02575498 1.00193054 0.98765225 0.98488827 1.01028839 0.99139756
 0.98837198 1.00362213 1.02231044 1.00137693 0.95755549 0.9925191
 1.01333317 0.97299919 1.00206127 1.01567992 0.98719882 1.00826852
 0.99554506 0.99567616 0.99665514 0.99112206 0.99704092 1.01505735
 0.99835378 1.02197723 0.97822484 1.00894145 0.97631343 0.98717691
 1.02796916 0.99373449 1.00400789 1.00032652 1.00292688 1.01536024
 0.98699214 1.03305994 1.02383665 0.98799966 1.00103531 0.97656476]",0.32931651458910327
